usda_code,description,n_true_products,n_predicted,true_positives,false_positives,false_negatives,precision,recall,f1
Ground beef 73%,Ground beef 73%,2,96,0,96,2,0.0,0.0,0.0
174 3 Loin short loin 0x1_Select,174 3 Loin short loin 0x1_Select,1,11,0,11,1,0.0,0.0,0.0
175 3 Loin strip loin 1x1_Choice,175 3 Loin strip loin 1x1_Choice,1,67,0,67,1,0.0,0.0,0.0
174 3 Loin short loin 0x1_Choice,174 3 Loin short loin 0x1_Choice,1,32,0,32,1,0.0,0.0,0.0
184B 3 Loin top butt CC_Choice,184B 3 Loin top butt CC_Choice,1,32,0,32,1,0.0,0.0,0.0
189A 4 Loin tndrloin trmdheavy_Choice,189A 4 Loin tndrloin trmdheavy_Choice,1,0,0,0,1,0.0,0.0,0.0
180 3 Loin strip bnls 0x1_Choice,180 3 Loin strip bnls 0x1_Choice,2,100,0,100,2,0.0,0.0,0.0
112a DN Lipon Ribeye,112a DN Lipon Ribeye,4,96,2,94,2,0.020833333333333332,0.5,0.039999999999999994
112a HVY Lipon Ribeye,112a HVY Lipon Ribeye,3,97,1,96,2,0.010309278350515464,0.3333333333333333,0.02
114 A 3 shoulder clod,114 A 3 shoulder clod,3,24,0,24,3,0.0,0.0,0.0
114f Clod Tender (teres major),114f Clod Tender (teres major),4,43,1,42,3,0.023255813953488372,0.25,0.0425531914893617
116 A 3 chuck roll,116 A 3 chuck roll,3,96,1,95,2,0.010416666666666666,0.3333333333333333,0.0202020202020202
116g Chuck Flap,116g Chuck Flap,4,63,2,61,2,0.031746031746031744,0.5,0.05970149253731343
120 1 brisket deckle off,120 1 brisket deckle off,3,72,3,69,0,0.041666666666666664,1.0,0.07999999999999999
121 C 4 Outside skirt,121 C 4 Outside skirt,3,93,2,91,1,0.021505376344086023,0.6666666666666666,0.04166666666666667
121 D 4 Inside skirt,121 D 4 Inside skirt,3,93,2,91,1,0.021505376344086023,0.6666666666666666,0.04166666666666667
123 A 3 short rib choice,123 A 3 short rib choice,3,96,1,95,2,0.010416666666666666,0.3333333333333333,0.0202020202020202
130 4 chuck short rib,130 4 chuck short rib,3,99,1,98,2,0.010101010101010102,0.3333333333333333,0.019607843137254905
167 A 4 knuckles,167 A 4 knuckles,2,1,0,1,2,0.0,0.0,0.0
168 1 top round inside ,168 1 top round inside ,3,41,1,40,2,0.024390243902439025,0.3333333333333333,0.04545454545454545
168 3 top round inside XT,168 3 top round inside XT,2,58,2,56,0,0.034482758620689655,1.0,0.06666666666666667
171 B 3 Round outside round flat ,171 B 3 Round outside round flat ,2,29,0,29,2,0.0,0.0,0.0
171 C 3 Eye of round,171 C 3 Eye of round,2,43,0,43,2,0.0,0.0,0.0
174 3 Short loin Choice ,174 3 Short loin Choice ,2,1,0,1,2,0.0,0.0,0.0
180 3 Strip loin,180 3 Strip loin,2,62,1,61,1,0.016129032258064516,0.5,0.03125
184 3 Top butt bnls,184 3 Top butt bnls,2,17,0,17,2,0.0,0.0,0.0
185 1 Ball tips ,185 1 Ball tips ,2,28,1,27,1,0.03571428571428571,0.5,0.06666666666666667
185 A 4 Bottom sirloin or “flap meat”,185 A 4 Bottom sirloin or “flap meat”,2,100,1,99,1,0.01,0.5,0.0196078431372549
185b Ball Tip,185b Ball Tip,2,28,1,27,1,0.03571428571428571,0.5,0.06666666666666667
189a Psmo tenderloin,189a Psmo tenderloin,2,30,0,30,2,0.0,0.0,0.0
193 Flank,193 Flank,2,52,1,51,1,0.019230769230769232,0.5,0.037037037037037035
Cap & Wedge,Cap & Wedge,3,2,0,2,3,0.0,0.0,0.0
Ground beef 81%,Ground beef 81%,2,95,1,94,1,0.010526315789473684,0.5,0.020618556701030927
Pectoral,Pectoral,3,14,1,13,2,0.07142857142857142,0.3333333333333333,0.11764705882352941
1/4 trim boneless Pork butt VAC,1/4 trim boneless Pork butt VAC,2,92,1,91,1,0.010869565217391304,0.5,0.021276595744680847
Trimmed pork sparerib MED,Trimmed pork sparerib MED,1,87,0,87,1,0.0,0.0,0.0
109E 1 Rib ribeye lip-on bn-in_Choice,109E 1 Rib ribeye lip-on bn-in_Choice,1,95,0,95,1,0.0,0.0,0.0
